channels_to_turn_off,seed,validation-roc-auc,validation-pr-auc,test-roc-auc,test-pr-auc
3,98,0.9588025249510581,0.6672577510836948,0.9657947712887899,0.5735305159404461
3,742,0.9737851481811352,0.6442119325022521,0.9652230875093082,0.5237128755243077
3,17,0.9734180925535032,0.5658920646397784,0.9461753512484571,0.375159237846316
3,595,0.9814104652279443,0.6761094340279807,0.9605035917618993,0.52752024328604
3,106,0.9691277846925,0.5722131941910409,0.9577339856471448,0.426119228749163
4,510,0.9566340848307735,0.5943186440392132,0.9508141282620679,0.37292174656925087
4,365,0.8490554029295408,0.3340064111899237,0.771942079429895,0.1245171137631369
4,382,0.9646195532440927,0.6395953393906866,0.9568072724918095,0.43765531832804755
4,322,0.9732084540794455,0.6132285950544133,0.9529132588503436,0.3921509133342466
4,988,0.969163561318312,0.6602804974473457,0.9545084517392891,0.43715529580453927
4,98,0.8806182326472382,0.35409895113279216,0.7902625709448926,0.12166122370592791
4,742,0.9608863564895976,0.6023599703315381,0.9397312687077862,0.46756222501629807
4,17,0.951230684544937,0.48601689819488547,0.9469176753182069,0.4392700446648732
4,595,0.9668990892024261,0.6440134178045978,0.9568555041528014,0.40875710309943464
4,106,0.963067475343942,0.588548325314947,0.9617736921680209,0.46682024037099096
5,510,0.9716232357259108,0.7264385663680843,0.9647423231827309,0.5538295845392383
5,365,0.9748433831130561,0.7310963214855808,0.9708494493607477,0.47670415404900796
5,382,0.9718463061261509,0.7251246214829336,0.9715941018555109,0.47120985681708155
5,322,0.9791076430798278,0.7433569619852,0.966703411430926,0.4770513911342165
5,988,0.9761023437455868,0.6808569729102089,0.954294735586273,0.4727800239369409
5,98,0.9698514767900709,0.7289182774956069,0.9603903859552951,0.5168143771056324
5,742,0.9775770939211746,0.6547377410253443,0.9542667390474214,0.5173912755252337
5,17,0.9807932242836672,0.7313338046698393,0.9652430454379944,0.4690315858369726
5,595,0.9783376924327416,0.7219028205713565,0.9632904947481821,0.45004540268197846
5,106,0.9764132865601026,0.7260588937893993,0.9689064895644426,0.5223284049882484
6,510,0.9743017124450563,0.6800936753885662,0.9375005266675626,0.4238253180704026
6,365,0.9755065687767972,0.6947658309794315,0.9471152588122016,0.43431044164060645
6,382,0.9709664521952096,0.6480253584232168,0.9444934522471076,0.38270866924837615
6,322,0.9709904288111051,0.6735919573910361,0.9513393544186634,0.41430970859200383
6,988,0.9736264757073573,0.6941489107238026,0.9465572129506556,0.4283057082771812
6,98,0.9752309632260223,0.7175134221461235,0.953125478158708,0.4433919647683356
6,742,0.9730723773693383,0.6555035943717173,0.9448632283147126,0.4246180097108718
6,17,0.9731387838081269,0.6710121923204154,0.9433536327643549,0.42558208772826006
6,595,0.9720644180115854,0.6400989125987174,0.9570197135549373,0.38015795846134853
6,106,0.9763448716089879,0.702659157917535,0.9481731399099588,0.4141359363914616
7,510,0.9824271490611145,0.693099523668103,0.9652923858728025,0.4830303976791842
7,365,0.9771650978302419,0.6782961010156638,0.9631699710343927,0.4496138590271064
7,382,0.978599175631222,0.6528887757488301,0.960887227502203,0.42148323118548675
7,322,0.9781340794956624,0.6581198053371052,0.9546329670388155,0.5221785667456914
7,988,0.9777867323952325,0.6975313129814767,0.9712477209154213,0.5340063162147077
7,98,0.9813213374934646,0.6673216708487635,0.9598318965842227,0.4802584451172191
7,742,0.9797766659825171,0.655827255301693,0.955344467196483,0.4282008539269404
7,17,0.9785020138474372,0.6738822520541622,0.9562648603410676,0.3934681179601639
7,595,0.9745938254565129,0.6425113889367917,0.9577426340829088,0.4337914279186905
7,106,0.9775078002459172,0.6484943418066106,0.9599805831529358,0.42469925148937393
8,510,0.9741274740007494,0.6989241357428851,0.9574682125634717,0.47518383600851904
8,365,0.9684013936564904,0.6325556062188122,0.9506870627827652,0.38638132071473075
8,382,0.9712140641054368,0.646134490700997,0.9577682467580563,0.4268614412536606
8,322,0.9765946803295718,0.630670515113407,0.9537339732288779,0.4185078736265476
8,988,0.9724745938882224,0.6174372467121565,0.9471305598908611,0.40985468949842335
8,98,0.9789570674213652,0.6600934243265216,0.9609323545965106,0.43217008271265467
8,742,0.9706889008981189,0.5827635969191713,0.954553467956215,0.3945102667855699
8,17,0.9657589446271981,0.5209408658038762,0.9356993236036213,0.312449985413075
8,595,0.9724294023608807,0.620711041760644,0.9593482494457239,0.47987777861596365
