channels_to_turn_off,seed,validation-roc-auc,validation-pr-auc,test-roc-auc,test-pr-auc
1,96,0.989926167718483,0.903434610003513,0.9876494461393907,0.9164406944851362
2,510,0.9897236967830342,0.910127524086051,0.98778272739794,0.8977307118603035
2,365,0.9897549369452132,0.9106556117865218,0.9880775914280379,0.9115002348654545
2,382,0.99039489058356,0.9140381798320639,0.988313663781799,0.9140828797282035
2,322,0.9893626886483078,0.9089778382914447,0.9877946517687503,0.9032126779023236
2,988,0.9902113034469917,0.9100632686076485,0.9880860441465867,0.9114386852695916
2,98,0.9892074272100608,0.9050611466698855,0.9867389675985411,0.8939539967724619
2,742,0.9896055285211601,0.9076681586553821,0.9867226659270537,0.9060802156840726
2,17,0.9897809744281086,0.9062418764996902,0.9877435581039495,0.90541652947237
2,595,0.9896832555861962,0.9102247095224469,0.9874241660959195,0.9068301332007721
2,106,0.9895193952752447,0.8994264802760163,0.9863090864837636,0.9023154756098726
2,123,0.9896524730671024,0.9047233892648824,0.9867555334174831,0.8858100839564674
2,569,0.989676487285832,0.9117701344644216,0.986922587814878,0.9118819081976322
2,214,0.9890125676017117,0.9041045250518966,0.9864484808691204,0.9012105442820344
2,737,0.9900423127161913,0.9073174659907123,0.9878815940166827,0.9050886654040997
2,96,0.9893696255540191,0.9054610212934422,0.987183942853585,0.9082058761378397
3,510,0.9895939670116414,0.9104799004738969,0.9873689592778963,0.895153545493144
3,365,0.9899554568759309,0.9086743990129664,0.9875514096983625,0.8878341958625501
3,382,0.9899531927469833,0.9114655617044258,0.9878572924508545,0.9120447427412917
3,322,0.9898602671142257,0.9105914633341061,0.9875481644582053,0.8976797944518087
3,988,0.9894040692177941,0.9120223658998707,0.9879972151311208,0.9114005176596145
3,98,0.989705631924411,0.910114484523711,0.985784489638816,0.8853085369752146
3,742,0.9896060102507233,0.9103626078338479,0.9875715603756178,0.9053193523145083
3,17,0.9900320759629714,0.9092741169144011,0.9889622589890321,0.909932932140184
3,595,0.9899668256936244,0.9108349290455684,0.9879718947108246,0.902873078953576
3,106,0.9901227133803034,0.9135000110693395,0.9889187123943646,0.9066864567376721
3,123,0.9897875741231258,0.9126039343527675,0.9870529257160754,0.9010549215703891
3,569,0.9899838789201645,0.9123519240570159,0.9868010045150346,0.9030562934432599
3,214,0.9904912846691736,0.9159964633331764,0.986648478227646,0.9107216097209541
