channels_to_turn_off,seed,validation-roc-auc,validation-pr-auc,test-roc-auc,test-pr-auc
1,123,0.8635138044424525,0.3765544886146573,0.790185511164687,0.16520497371029702
1,569,0.8781797103850758,0.371566653733298,0.7695379251648636,0.18264392208683347
1,214,0.8803087334509568,0.37766125428153313,0.800096119602101,0.1705453200967559
1,737,0.8732983977720576,0.38373097549528323,0.7821272202641276,0.1667307574781175
1,96,0.8710922980456546,0.36799803114407004,0.8044567607039916,0.16654123447281421
2,510,0.9716157038046872,0.7125800063926087,0.9272431492192236,0.367163514907236
2,365,0.9713889929758558,0.7009656557815175,0.9314617009566057,0.34849961879513564
2,382,0.9638836845405435,0.7005593094891475,0.9431545524257089,0.32257576623556883
2,322,0.9688396887056957,0.7270384429607654,0.9430511592673755,0.3928451766331121
2,988,0.9761607161350698,0.6591631270777166,0.932658178781351,0.3392956289094402
2,98,0.9741105271779962,0.7082691318333587,0.938143282848644,0.3579144929304048
2,742,0.9751830727602419,0.7243849477590769,0.9358547736926115,0.3482217300153213
2,17,0.9724546342969798,0.739096067296231,0.95171622663869,0.4110752949431535
2,595,0.9764091440034295,0.7573358187275047,0.925228063686194,0.3973607930326295
2,106,0.964027293171874,0.700750937711746,0.9148520474395531,0.3395756947501221
2,123,0.9793970571528459,0.6948259192232217,0.9161504215779802,0.30921675980742797
2,569,0.9749075299754775,0.7258914581610546,0.9267119356840225,0.3302960879829647
2,214,0.9738611578194836,0.7407562082452085,0.9111195821430647,0.4083331571833497
2,737,0.978327022211008,0.6994385914140839,0.9357701742504577,0.3554595613137579
2,96,0.9740965931237325,0.6962021405263598,0.9411779967827818,0.32174538348419046
3,510,0.9803578792369412,0.7318098692044755,0.9501803531488954,0.450679447213527
3,365,0.9703762006353176,0.5696317625574441,0.9305133667118602,0.306361176587399
3,382,0.9770786062681903,0.5963600647678372,0.9467959319532202,0.42513499986767483
3,322,0.9812787821385509,0.6320467123663751,0.9660025555018908,0.5314983862529414
3,988,0.9729012772255415,0.6183022722052518,0.941857675131933,0.4267385497766246
3,98,0.9795070232027111,0.6083062327314598,0.9598932117762424,0.4590076810563461
3,742,0.9736989076831245,0.6412620231705219,0.9494006634015496,0.4821774631220535
3,17,0.97946522103992,0.6741756624622458,0.9603576771277259,0.48622622236326446
3,595,0.9683964351416848,0.620179500736781,0.9422132588946944,0.4495175799381488
3,106,0.968779182271866,0.4915669927405251,0.9363628692937509,0.3328267344530772
3,123,0.9644035126369948,0.5954258237921508,0.9405420041219775,0.4175033225853473
3,569,0.971134790634558,0.6799075490802139,0.9594084558639276,0.4759090393453319
3,214,0.9612005631366436,0.6299069287883146,0.9500306686837479,0.46026097361766294
